name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,7,4,5,68,73,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,8,2,3,73,76,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,9,1,4,85,89,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,10,2,1,89,90,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i2.txt,2023-11-20T15:07:48.643,5,5,0,8946427055366837110,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,1,2,9,0,9,4818,1.0003463,133637736,"Dict{String, Any}(""terminalNodes"" => 2, ""nodesGenerated"" => 138, ""skippedNodes"" => 53)",OK
testsWithRecirculation/n5m5n_i10i2.txt,2023-11-20T15:07:48.643,5,5,0,8946427055366837110,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,2,5,3,9,12,4818,1.0003463,133637736,"Dict{String, Any}(""terminalNodes"" => 2, ""nodesGenerated"" => 138, ""skippedNodes"" => 53)",OK
testsWithRecirculation/n5m5n_i10i2.txt,2023-11-20T15:07:48.643,5,5,0,8946427055366837110,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,3,4,9,12,21,4818,1.0003463,133637736,"Dict{String, Any}(""terminalNodes"" => 2, ""nodesGenerated"" => 138, ""skippedNodes"" => 53)",OK
testsWithRecirculation/n5m5n_i10i2.txt,2023-11-20T15:07:48.643,5,5,0,8946427055366837110,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,4,2,9,21,30,4818,1.0003463,133637736,"Dict{String, Any}(""terminalNodes"" => 2, ""nodesGenerated"" => 138, ""skippedNodes"" => 53)",OK
testsWithRecirculation/n5m5n_i10i2.txt,2023-11-20T15:07:48.643,5,5,0,8946427055366837110,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,5,5,1,40,41,4818,1.0003463,133637736,"Dict{String, Any}(""terminalNodes"" => 2, ""nodesGenerated"" => 138, ""skippedNodes"" => 53)",OK
testsWithRecirculation/n5m5n_i10i2.txt,2023-11-20T15:07:48.643,5,5,0,8946427055366837110,Branch and Bound - 1|R_j|Lmax,91,Cmax_function,1,6,3,7,57,64,4818,1.0003463,133637736,"Dict{String, Any}(""terminalNodes"" => 2, ""nodesGenerated"" => 138, ""skippedNodes"" => 53)",OK
